match_participant_1,match_participant_2,game_in_match_id,player_O,player_X,winner,moves,time_seconds,game_global_id
Qwen3 P1,gemini-flash-2.0 P1,0,gemini-flash-2.0 P1,Qwen3 P1,Qwen3 P1,10,0.004000425338745117,0
Qwen3 P1,gemini-flash-2.0 P1,1,Qwen3 P1,gemini-flash-2.0 P1,Qwen3 P1,7,0.0019998550415039062,1
Negamax5 P4 T0.01,o3-mini-high P1,0,Negamax5 P4 T0.01,o3-mini-high P1,Negamax5 P4 T0.01,23,0.04799962043762207,2
Negamax5 P4 T0.01,o3-mini-high P1,1,o3-mini-high P1,Negamax5 P4 T0.01,Negamax5 P4 T0.01,14,0.017999887466430664,3
Gemma2 P1,claude3.7-sonnet-thinking P1,0,claude3.7-sonnet-thinking P1,Gemma2 P1,claude3.7-sonnet-thinking P1,11,0.006119966506958008,4
Gemma2 P1,claude3.7-sonnet-thinking P1,1,Gemma2 P1,claude3.7-sonnet-thinking P1,claude3.7-sonnet-thinking P1,12,0.005879878997802734,5
Negamax P1,Negamax4 P4,0,Negamax P1,Negamax4 P4,Negamax4 P4,18,0.01788020133972168,6
Negamax P1,Negamax4 P4,1,Negamax4 P4,Negamax P1,Negamax4 P4,29,0.01900005340576172,7
Default Bot,Negamax5B P2,0,Negamax5B P2,Default Bot,Negamax5B P2,7,0.0009996891021728516,8
Default Bot,Negamax5B P2,1,Default Bot,Negamax5B P2,Negamax5B P2,10,0.0009999275207519531,9
Gemini2.5 Pro P6 T0.01,Negamax5B P2,0,Negamax5B P2,Gemini2.5 Pro P6 T0.01,Negamax5B P2,35,0.16411781311035156,10
Gemini2.5 Pro P6 T0.01,Negamax5B P2,1,Gemini2.5 Pro P6 T0.01,Negamax5B P2,Gemini2.5 Pro P6 T0.01,11,0.05158543586730957,11
Negamax5 P6 T0.1,gemini-flash-2.0 P1,0,Negamax5 P6 T0.1,gemini-flash-2.0 P1,Negamax5 P6 T0.1,19,0.10002350807189941,12
Negamax5 P6 T0.1,gemini-flash-2.0 P1,1,gemini-flash-2.0 P1,Negamax5 P6 T0.1,Negamax5 P6 T0.1,10,0.04616713523864746,13
Negamax5B P4 T0.025,o3 P1,0,Negamax5B P4 T0.025,o3 P1,Negamax5B P4 T0.025,9,0.009000062942504883,14
Negamax5B P4 T0.025,o3 P1,1,o3 P1,Negamax5B P4 T0.025,Negamax5B P4 T0.025,12,0.5183510780334473,15
Negamax4 P6 T0.1,o4-mini-high P6,0,Negamax4 P6 T0.1,o4-mini-high P6,o4-mini-high P6,36,0.2366321086883545,16
Negamax4 P6 T0.1,o4-mini-high P6,1,o4-mini-high P6,Negamax4 P6 T0.1,o4-mini-high P6,37,0.10571956634521484,17
Gemini2.5 Pro P6 T0.01,gemini-pro-2.0 P2,0,gemini-pro-2.0 P2,Gemini2.5 Pro P6 T0.01,Gemini2.5 Pro P6 T0.01,36,0.21077275276184082,18
Gemini2.5 Pro P6 T0.01,gemini-pro-2.0 P2,1,Gemini2.5 Pro P6 T0.01,gemini-pro-2.0 P2,Gemini2.5 Pro P6 T0.01,39,0.20157909393310547,19
Negamax4 P4 T0.25,gpt4o P6 T0.01,0,Negamax4 P4 T0.25,gpt4o P6 T0.01,gpt4o P6 T0.01,20,0.16870355606079102,20
Negamax4 P4 T0.25,gpt4o P6 T0.01,1,gpt4o P6 T0.01,Negamax4 P4 T0.25,gpt4o P6 T0.01,39,0.3266477584838867,21
Gemini2.5 Pro P4 T0.025,Negamax5 P4 T0.01,0,Negamax5 P4 T0.01,Gemini2.5 Pro P4 T0.025,Negamax5 P4 T0.01,23,0.24661540985107422,22
Gemini2.5 Pro P4 T0.025,Negamax5 P4 T0.01,1,Gemini2.5 Pro P4 T0.025,Negamax5 P4 T0.01,draw,42,0.30889344215393066,23
Negamax5 P6,Negamax5B P6 T0.1,0,Negamax5 P6,Negamax5B P6 T0.1,Negamax5B P6 T0.1,40,0.21333861351013184,24
Negamax5 P6,Negamax5B P6 T0.1,1,Negamax5B P6 T0.1,Negamax5 P6,Negamax5B P6 T0.1,33,0.28287482261657715,25
Gemini2.5 Pro P4 T0.1,Negamax5B P6 T0.1,0,Negamax5B P6 T0.1,Gemini2.5 Pro P4 T0.1,Negamax5B P6 T0.1,35,0.5585403442382812,26
Gemini2.5 Pro P4 T0.1,Negamax5B P6 T0.1,1,Gemini2.5 Pro P4 T0.1,Negamax5B P6 T0.1,Negamax5B P6 T0.1,36,0.42509007453918457,27
Gemini2.5 Flash Thinking P8,Negamax5 P2,0,Negamax5 P2,Gemini2.5 Flash Thinking P8,Negamax5 P2,11,0.7111296653747559,28
Gemini2.5 Flash Thinking P8,Negamax5 P2,1,Gemini2.5 Flash Thinking P8,Negamax5 P2,Negamax5 P2,40,0.5493998527526855,29
LeChat P1,Negamax5 P8,0,Negamax5 P8,LeChat P1,draw,42,0.7909071445465088,30
LeChat P1,Negamax5 P8,1,LeChat P1,Negamax5 P8,Negamax5 P8,20,0.4646637439727783,31
Negamax4 P1,Negamax5B P4 T0.025,0,Negamax4 P1,Negamax5B P4 T0.025,Negamax5B P4 T0.025,22,0.01600027084350586,32
Negamax4 P1,Negamax5B P4 T0.025,1,Negamax5B P4 T0.025,Negamax4 P1,Negamax5B P4 T0.025,7,0.00599980354309082,33
Negamax5 P8 T0.025,o4-mini-high P10,0,Negamax5 P8 T0.025,o4-mini-high P10,Negamax5 P8 T0.025,39,1.1125297546386719,34
Negamax5 P8 T0.025,o4-mini-high P10,1,o4-mini-high P10,Negamax5 P8 T0.025,o4-mini-high P10,33,0.6805870532989502,35
LeChat P1,Negamax5 P4 T0.1,0,Negamax5 P4 T0.1,LeChat P1,LeChat P1,28,0.0280001163482666,36
LeChat P1,Negamax5 P4 T0.1,1,LeChat P1,Negamax5 P4 T0.1,Negamax5 P4 T0.1,30,0.03099989891052246,37
Gemini2.5 Pro P4 T0.01,Negamax3 P1,0,Negamax3 P1,Gemini2.5 Pro P4 T0.01,Gemini2.5 Pro P4 T0.01,24,0.11900019645690918,38
Gemini2.5 Pro P4 T0.01,Negamax3 P1,1,Gemini2.5 Pro P4 T0.01,Negamax3 P1,Gemini2.5 Pro P4 T0.01,9,0.043000221252441406,39
gemini-flash-2.0 P4,o1 P2,0,gemini-flash-2.0 P4,o1 P2,o1 P2,20,0.18499994277954102,40
gemini-flash-2.0 P4,o1 P2,1,o1 P2,gemini-flash-2.0 P4,o1 P2,7,0.07299971580505371,41
QwQ P2,Random Bot,0,Random Bot,QwQ P2,QwQ P2,8,0.024999618530273438,42
QwQ P2,Random Bot,1,QwQ P2,Random Bot,QwQ P2,21,0.0819997787475586,43
gemini-flash-2.0-thinking P2,o3 P1,0,gemini-flash-2.0-thinking P2,o3 P1,gemini-flash-2.0-thinking P2,7,0.005000114440917969,44
gemini-flash-2.0-thinking P2,o3 P1,1,o3 P1,gemini-flash-2.0-thinking P2,gemini-flash-2.0-thinking P2,8,0.5059993267059326,45
Gemini2.5 Pro P4 T0.025,Negamax2 P6,0,Negamax2 P6,Gemini2.5 Pro P4 T0.025,Gemini2.5 Pro P4 T0.025,22,0.38699936866760254,46
Gemini2.5 Pro P4 T0.025,Negamax2 P6,1,Gemini2.5 Pro P4 T0.025,Negamax2 P6,draw,42,0.6179993152618408,47
Gemini2.5 Flash Thinking P8,o3 P1,0,Gemini2.5 Flash Thinking P8,o3 P1,Gemini2.5 Flash Thinking P8,23,2.1181159019470215,48
Gemini2.5 Flash Thinking P8,o3 P1,1,o3 P1,Gemini2.5 Flash Thinking P8,Gemini2.5 Flash Thinking P8,8,0.8979988098144531,49
Negamax P1,same.dev P1,0,Negamax P1,same.dev P1,same.dev P1,8,0.0,50
Negamax P1,same.dev P1,1,same.dev P1,Negamax P1,same.dev P1,7,0.0010001659393310547,51
Negamax5B P6 T0.1,gpt4o P6 T0.1,0,Negamax5B P6 T0.1,gpt4o P6 T0.1,draw,42,1.7671167850494385,52
Negamax5B P6 T0.1,gpt4o P6 T0.1,1,gpt4o P6 T0.1,Negamax5B P6 T0.1,Negamax5B P6 T0.1,42,2.01299786567688,53
Negamax4 P6,o3-mini-high P6,0,Negamax4 P6,o3-mini-high P6,o3-mini-high P6,32,2.640115737915039,54
Negamax4 P6,o3-mini-high P6,1,o3-mini-high P6,Negamax4 P6,o3-mini-high P6,15,1.089998722076416,55
Negamax5B P8 T0.01,gemini-pro-2.0 P2,0,Negamax5B P8 T0.01,gemini-pro-2.0 P2,Negamax5B P8 T0.01,39,0.669999361038208,56
Negamax5B P8 T0.01,gemini-pro-2.0 P2,1,gemini-pro-2.0 P2,Negamax5B P8 T0.01,Negamax5B P8 T0.01,18,0.8799991607666016,57
Negamax4 P8 T0.01,Negamax5 P6 T0.1,0,Negamax4 P8 T0.01,Negamax5 P6 T0.1,Negamax4 P8 T0.01,39,2.155116081237793,58
