Bot,Elo,Bot_Type,Depth,Time_Limit,Neural_Gen,MCTS_Iter,Rank
QwQ P6,1547.7964771574611,QwQ,6.0,,,,1
QwQ P4,1438.1502555489105,QwQ,4.0,,,,2
gpt4o P4,1430.4420908430163,gpt4o,4.0,,,,3
claude3.7-sonnet-thinking P8,1426.6293431344307,claude3.7-sonnet-thinking,8.0,,,,4
o3-mini-high P6,1422.191011978807,o3-mini-high,6.0,,,,5
gpt4o P6,1402.2792612837186,gpt4o,6.0,,,,6
Gemini2.5 Pro P6,1380.2153131109742,Gemini2.5 Pro,6.0,,,2.0,7
o4-mini-high P10,1380.077088786983,o4-mini-high,10.0,,,,8
gpt4o P4 T0.025,1376.36725257915,gpt4o,4.0,0.025,,,9
o4-mini-high P12,1372.4636206746927,o4-mini-high,12.0,,,,10
Negamax5B P10 T0.025,1370.2339357557196,Negamax5B,10.0,0.025,,,11
Negamax5B P10 T0.01,1367.265797121339,Negamax5B,10.0,0.01,,,12
gemini-pro-2.0 P8,1364.2240079975702,gemini-pro-2.0,8.0,,,,13
gpt4o P4 T0.01,1351.51450069512,gpt4o,4.0,0.01,,,14
Gemini2.5 Pro P4 T0.1,1347.3049027884394,Gemini2.5 Pro,4.0,0.1,,2.0,15
Negamax5B P10,1344.2257198575096,Negamax5B,10.0,,,,16
gpt4o P4 T0.1,1343.5954208136698,gpt4o,4.0,0.1,,,17
Negamax5B P10 T0.1,1338.5401682857362,Negamax5B,10.0,0.1,,,18
o4-mini-high P8,1333.4699852780632,o4-mini-high,8.0,,,,19
Gemini2.5 Pro P6 T0.25,1332.0267522337622,Gemini2.5 Pro,6.0,0.25,,2.0,20
Negamax5B P8,1331.4214909615412,Negamax5B,8.0,,,,21
Negamax5B P8 T0.1,1325.5501909004415,Negamax5B,8.0,0.1,,,22
gpt4o P8 T0.1,1324.2555002054894,gpt4o,8.0,0.1,,,23
claude3.7-sonnet-thinking P4,1321.0772258292288,claude3.7-sonnet-thinking,4.0,,,,24
Negamax5B P6 T0.025,1317.0282035992645,Negamax5B,6.0,0.025,,,25
o4-mini-high P4,1316.653726867395,o4-mini-high,4.0,,,,26
Negamax5B P6 T0.01,1316.2063753436457,Negamax5B,6.0,0.01,,,27
gpt4o P6 T0.1,1314.855843107307,gpt4o,6.0,0.1,,,28
Negamax5B P8 T0.01,1313.8537922171934,Negamax5B,8.0,0.01,,,29
Gemini2.5 Pro P4 T0.25,1309.3418389630694,Gemini2.5 Pro,4.0,0.25,,2.0,30
gpt4o P8,1307.8074746686207,gpt4o,8.0,,,,31
Negamax5B P4,1305.1389709969021,Negamax5B,4.0,,,,32
gemini-flash-2.0-thinking P8,1303.899658613927,gemini-flash-2.0-thinking,8.0,,,,33
gpt4o P6 T0.025,1303.2222501882518,gpt4o,6.0,0.025,,,34
Gemini2.5 Pro P6 T0.01,1302.9758316154775,Gemini2.5 Pro,6.0,0.01,,2.0,35
Negamax5B P8 T0.025,1302.354325898078,Negamax5B,8.0,0.025,,,36
o3-mini-high P4,1302.3078168945437,o3-mini-high,4.0,,,,37
Negamax5B P6 T0.1,1302.187196325766,Negamax5B,6.0,0.1,,,38
Gemini2.5 Pro P4 T0.01,1290.7683890932215,Gemini2.5 Pro,4.0,0.01,,2.0,39
o4-mini-high P6,1290.1283802284802,o4-mini-high,6.0,,,,40
Negamax5B P6,1284.3493227492143,Negamax5B,6.0,,,,41
claude3.7-sonnet-thinking P6,1278.3622359006465,claude3.7-sonnet-thinking,6.0,,,,42
gemini-pro-2.0 P6,1274.024826571462,gemini-pro-2.0,6.0,,,,43
gpt4o P6 T0.01,1273.4700370990347,gpt4o,6.0,0.01,,,44
gemini-flash-2.0-thinking P6,1270.4594450468526,gemini-flash-2.0-thinking,6.0,,,,45
o3-mini-high P2,1265.0062503523254,o3-mini-high,2.0,,,,46
gpt4o P10,1264.0059037292751,gpt4o,10.0,,,,47
Gemini2.5 Pro P2,1263.6770204165584,Gemini2.5 Pro,2.0,,,2.0,48
Gemini2.5 Pro P6 T0.1,1263.2665595680169,Gemini2.5 Pro,6.0,0.1,,2.0,49
Negamax5B P4 T0.1,1262.6977222363098,Negamax5B,4.0,0.1,,,50
Negamax5B P4 T0.01,1257.4992840792167,Negamax5B,4.0,0.01,,,51
Gemini2.5 Pro P4,1252.474844045115,Gemini2.5 Pro,4.0,,,2.0,52
gpt4o P8 T0.01,1251.709573583211,gpt4o,8.0,0.01,,,53
QwQ P2,1241.444277380031,QwQ,2.0,,,,54
claude3.7-sonnet P8,1234.1121172926673,claude3.7-sonnet,8.0,,,,55
gpt4o P8 T0.025,1231.2711977889692,gpt4o,8.0,0.025,,,56
claude3.7-sonnet P10,1228.1879629003718,claude3.7-sonnet,10.0,,,,57
gpt4o P10 T0.025,1221.6330653684884,gpt4o,10.0,0.025,,,58
gpt4o P10 T0.1,1212.217623080403,gpt4o,10.0,0.1,,,59
Negamax5B P4 T0.025,1208.850892935028,Negamax5B,4.0,0.025,,,60
claude3.7-sonnet P6,1199.0154613601078,claude3.7-sonnet,6.0,,,,61
claude3.7-sonnet-thinking P2,1197.9058937116226,claude3.7-sonnet-thinking,2.0,,,,62
gpt4o P2,1184.7253644682407,gpt4o,2.0,,,,63
