Bot,wins,losses,draws,games_played,total_moves_in_games,total_time_in_games,type,depth,time_limit,neural_gen,mcts_iter,win_rate,loss_rate,draw_rate,avg_moves_per_game,avg_time_per_game
Default Bot,9,101,0,110,1116,200.08111143112183,DefaultBot,,,,,0.08181818181818182,0.9181818181818182,0.0,10.145454545454545,1.8189191948283803
Gemini2.5 Flash Thinking P6,13,97,0,110,2146,339.9345598220825,Gemini2.5 Flash Thinking,6.0,,,2.0,0.11818181818181818,0.8818181818181818,0.0,19.509090909090908,3.09031418020075
Gemini2.5 Flash Thinking P8,17,71,22,110,2486,418.3989346027374,Gemini2.5 Flash Thinking,8.0,,,2.0,0.15454545454545454,0.6454545454545455,0.2,22.6,3.803626678206704
Gemini2.5 Pro P4 T0.25,58,38,14,110,3320,536.253648519516,Gemini2.5 Pro,4.0,0.25,,2.0,0.5272727272727272,0.34545454545454546,0.12727272727272726,30.181818181818183,4.875033168359236
Gemini2.5 Pro P6,78,22,10,110,3147,681.6406466960907,Gemini2.5 Pro,6.0,,,2.0,0.7090909090909091,0.2,0.09090909090909091,28.60909090909091,6.1967331517826425
Gemini2.5 Pro P6 T0.25,66,39,5,110,3112,645.7363920211792,Gemini2.5 Pro,6.0,0.25,,2.0,0.6,0.35454545454545455,0.045454545454545456,28.29090909090909,5.870330836556175
Gemma2 P6,26,84,0,110,1969,544.5379219055176,Gemma2,6.0,,,,0.23636363636363636,0.7636363636363637,0.0,17.9,4.950344744595614
Gemma2 P8,27,83,0,110,2066,1006.7786622047424,Gemma2,8.0,,,,0.24545454545454545,0.7545454545454545,0.0,18.78181818181818,9.152533292770386
LeChat P10,36,41,33,110,3106,909.0864915847778,LeChat,10.0,,,,0.32727272727272727,0.37272727272727274,0.3,28.236363636363638,8.264422650770708
LeChat P6,55,18,37,110,3534,418.6560046672821,LeChat,6.0,,,,0.5,0.16363636363636364,0.33636363636363636,32.127272727272725,3.8059636787934736
LeChat P8,39,41,30,110,3196,567.2552235126495,LeChat,8.0,,,,0.35454545454545455,0.37272727272727274,0.2727272727272727,29.054545454545455,5.156865668296814
Negamax P6,31,79,0,110,2752,781.9696636199951,Negamax,6.0,,,,0.2818181818181818,0.7181818181818181,0.0,25.01818181818182,7.108815123818138
Negamax2 P6,31,79,0,110,2762,481.91937804222107,Negamax2,6.0,,,,0.2818181818181818,0.7181818181818181,0.0,25.10909090909091,4.381085254929283
Negamax2 P8,32,75,3,110,2851,873.6717054843903,Negamax2,8.0,,,,0.2909090909090909,0.6818181818181818,0.02727272727272727,25.918181818181818,7.942470049858093
Negamax3 P6,33,77,0,110,2780,468.64826226234436,Negamax3,6.0,,,,0.3,0.7,0.0,25.272727272727273,4.260438747839494
Negamax3 P8,29,78,3,110,2866,852.2094650268555,Negamax3,8.0,,,,0.2636363636363636,0.7090909090909091,0.02727272727272727,26.054545454545455,7.747358772971413
Negamax4 P10,48,16,46,110,3801,2474.3522362709045,Negamax4,10.0,,,,0.43636363636363634,0.14545454545454545,0.41818181818181815,34.554545454545455,22.494111238826406
Negamax4 P4 T0.25,49,24,37,110,3601,371.3623399734497,Negamax4,4.0,0.25,,,0.44545454545454544,0.21818181818181817,0.33636363636363636,32.736363636363635,3.3760212724859064
