bot1,bot2,bot1_wins,bot2_wins,draws,total_games_in_match,total_moves,total_time,bot1_type,bot2_type
Default Bot,Negamax2 P6,0,2,0,2,23,0.2221825122833252,DefaultBot,Negamax2
Default Bot,Negamax4 P6,0,2,0,2,17,0.09360909461975098,DefaultBot,Negamax4
Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P4 T0.25,0,2,0,2,45,1.1573069095611572,Gemini2.5 Flash Thinking,Gemini2.5 Pro
Gemini2.5 Flash Thinking P8,LeChat P6,0,1,1,2,49,1.2810742855072021,Gemini2.5 Flash Thinking,LeChat
Negamax4 P6,o4-mini-high P10,1,0,1,2,80,1.6469273567199707,Negamax4,o4-mini-high
Negamax5B P6,Negamax5B P8,0,1,1,2,80,1.5123517513275146,Negamax5B,Negamax5B
Negamax5 P6,gemini-flash-2.0 P6,2,0,0,2,63,2.112067699432373,Negamax5,gemini-flash-2.0
Random Bot,claude3.7-sonnet-thinking P6,0,2,0,2,23,2.537524461746216,RandomBot,claude3.7-sonnet-thinking
Gemini2.5 Flash Thinking P8,Negamax4 P8,0,1,1,2,49,2.5025527477264404,Gemini2.5 Flash Thinking,Negamax4
Gemini2.5 Flash Thinking P6,Gemini2.5 Pro P6 T0.25,0,2,0,2,37,3.3415184020996094,Gemini2.5 Flash Thinking,Gemini2.5 Pro
Negamax5 P6,o3-mini-high P6,0,2,0,2,67,3.870779037475586,Negamax5,o3-mini-high
Negamax4 P8,Negamax5B P8,0,0,2,2,84,3.0833115577697754,Negamax4,Negamax5B
Gemma2 P6,Negamax5B P8,0,2,0,2,63,4.354280471801758,Gemma2,Negamax5B
Gemma2 P6,o3 P8,2,0,0,2,23,5.1889519691467285,Gemma2,o3
Negamax5 P8,claude3.7-sonnet-thinking P6,1,1,0,2,82,5.679529190063477,Negamax5,claude3.7-sonnet-thinking
Negamax2 P8,r1 T0.25,2,0,0,2,17,5.7646424770355225,Negamax2,r1
Negamax2 P6,Random Bot,2,0,0,2,27,0.3284027576446533,Negamax2,RandomBot
Negamax5B P6,o3 P10,2,0,0,2,33,6.786192893981934,Negamax5B,o3
Gemini2.5 Pro P6,Negamax2 P6,2,0,0,2,55,6.9710094928741455,Gemini2.5 Pro,Negamax2
Gemini2.5 Flash Thinking P6,o1 P8,0,2,0,2,49,7.184284925460815,Gemini2.5 Flash Thinking,o1
o3 P8,same.dev P6,1,1,0,2,38,7.288403272628784,o3,same.dev
Negamax4 P8,o1 P6,1,0,1,2,84,7.447501182556152,Negamax4,o1
Gemini2.5 Flash Thinking P6,claude3.7-sonnet P8,0,2,0,2,45,6.469329118728638,Gemini2.5 Flash Thinking,claude3.7-sonnet
Qwen3 P6,o3-mini-high P6,0,2,0,2,37,5.71139121055603,Qwen3,o3-mini-high
LeChat P6,r1 T0.25,2,0,0,2,33,8.561760187149048,LeChat,r1
LeChat P6,r1 T0.5,2,0,0,2,33,8.533828735351562,LeChat,r1
LeChat P10,Negamax5 P6,0,0,2,2,84,9.280287265777588,LeChat,Negamax5
Negamax4 P6,gemini-flash-2.0 P6,2,0,0,2,63,1.6445002555847168,Negamax4,gemini-flash-2.0
claude3.7-sonnet P8,same.dev P6,1,1,0,2,34,7.358947277069092,claude3.7-sonnet,same.dev
Gemma2 P6,gemini-flash-2.0 P6,2,0,0,2,15,2.720770835876465,Gemma2,gemini-flash-2.0
gemini-flash-2.0 P6,o3 P8,0,2,0,2,27,5.996718883514404,gemini-flash-2.0,o3
Default Bot,Gemini2.5 Flash Thinking P6,1,1,0,2,36,0.43952393531799316,DefaultBot,Gemini2.5 Flash Thinking
LeChat P6,Qwen3 P6,2,0,0,2,33,2.942577838897705,LeChat,Qwen3
Gemma2 P8,o1 P6,0,2,0,2,33,11.442949295043945,Gemma2,o1
Gemini2.5 Flash Thinking P8,Negamax2 P8,1,1,0,2,44,4.887022256851196,Gemini2.5 Flash Thinking,Negamax2
Negamax4 P6,o1 P6,2,0,0,2,81,3.0489184856414795,Negamax4,o1
Gemini2.5 Pro P4 T0.25,Negamax5B P6,0,2,0,2,71,1.0183420181274414,Gemini2.5 Pro,Negamax5B
claude3.7-sonnet P10,o3-mini-high P6,0,2,0,2,47,14.039309740066528,claude3.7-sonnet,o3-mini-high
LeChat P8,claude3.7-sonnet P8,2,0,0,2,63,12.780322790145874,LeChat,claude3.7-sonnet
Gemma2 P6,Negamax5B P10,0,2,0,2,61,15.009551525115967,Gemma2,Negamax5B
Gemini2.5 Flash Thinking P6,o3 P10,0,2,0,2,29,6.462159156799316,Gemini2.5 Flash Thinking,o3
Negamax P6,Negamax4 P6,0,2,0,2,67,5.130507230758667,Negamax,Negamax4
Qwen3 P6,gemini-pro-2.0 P6,0,2,0,2,47,6.521178722381592,Qwen3,gemini-pro-2.0
gemini-flash-2.0 P8,r1 T0.25,1,1,0,2,40,15.823973655700684,gemini-flash-2.0,r1
Negamax4 P8,o3 P10,2,0,0,2,37,10.177490711212158,Negamax4,o3
claude3.7-sonnet P8,o3-mini-high P6,0,2,0,2,49,16.424229383468628,claude3.7-sonnet,o3-mini-high
Negamax4 P4 T0.25,Negamax5 P10,0,1,1,2,83,6.49716591835022,Negamax4,Negamax5
Negamax2 P6,o4-mini-high P12,0,2,0,2,43,11.637298107147217,Negamax2,o4-mini-high
Gemma2 P8,o3-mini-high P6,0,2,0,2,23,7.029348611831665,Gemma2,o3-mini-high
claude3.7-sonnet P10,r1 T0.5,2,0,0,2,43,17.020485162734985,claude3.7-sonnet,r1
Negamax4 P8,Negamax5 P6,1,0,1,2,80,2.2197372913360596,Negamax4,Negamax5
LeChat P8,QwQ P6,0,2,0,2,77,18.38967490196228,LeChat,QwQ
Negamax2 P8,o4-mini-high P8,0,2,0,2,53,3.1434967517852783,Negamax2,o4-mini-high
Gemma2 P6,Negamax2 P6,0,2,0,2,51,3.299166202545166,Gemma2,Negamax2
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P8,2,0,0,2,27,6.192652940750122,Gemini2.5 Pro,gemini-flash-2.0
Qwen3 P6,gpt4o P8,0,2,0,2,43,16.32320213317871,Qwen3,gpt4o
Negamax5B P10,claude3.7-sonnet P6,1,1,0,2,50,12.652878999710083,Negamax5B,claude3.7-sonnet
LeChat P6,Negamax5 P8,1,0,1,2,78,1.9624977111816406,LeChat,Negamax5
gemini-flash-2.0-thinking P6,o4-mini-high P6,1,0,1,2,82,1.9018876552581787,gemini-flash-2.0-thinking,o4-mini-high
Gemini2.5 Pro P6,Negamax3 P6,2,0,0,2,55,5.809253454208374,Gemini2.5 Pro,Negamax3
Negamax5B P8,r1 T0.5,1,0,1,2,61,16.084928274154663,Negamax5B,r1
Negamax3 P6,Negamax5B P10,0,2,0,2,61,10.840519905090332,Negamax3,Negamax5B
gemini-flash-2.0 P6,o1 P8,1,1,0,2,46,15.642973184585571,gemini-flash-2.0,o1
Gemini2.5 Pro P6 T0.25,gemini-flash-2.0 P6,1,1,0,2,46,4.18712306022644,Gemini2.5 Pro,gemini-flash-2.0
Negamax5 P6,o1 P8,0,0,2,2,84,23.093504190444946,Negamax5,o1
Negamax5B P10,gemini-flash-2.0 P8,1,0,1,2,61,12.005962133407593,Negamax5B,gemini-flash-2.0
o1 P8,same.dev P6,2,0,0,2,17,6.7403082847595215,o1,same.dev
Negamax4 P6,o1 P8,0,0,2,2,84,19.47496199607849,Negamax4,o1
Negamax5B P10,gpt4o P6,0,1,1,2,81,22.378594636917114,Negamax5B,gpt4o
LeChat P6,Negamax3 P6,2,0,0,2,51,1.2450106143951416,LeChat,Negamax3
Negamax2 P8,gemini-flash-2.0-thinking P6,0,2,0,2,55,14.963577032089233,Negamax2,gemini-flash-2.0-thinking
Negamax4 P8,o4-mini-high P6,1,1,0,2,68,2.0359408855438232,Negamax4,o4-mini-high
claude3.7-sonnet-thinking P8,gemini-flash-2.0-thinking P6,1,1,0,2,54,11.859050512313843,claude3.7-sonnet-thinking,gemini-flash-2.0-thinking
Negamax4 P4 T0.25,claude3.7-sonnet-thinking P6,1,1,0,2,56,3.6028168201446533,Negamax4,claude3.7-sonnet-thinking
Negamax4 P8,QwQ P6,0,2,0,2,79,17.311028480529785,Negamax4,QwQ
Gemini2.5 Pro P6 T0.25,Negamax2 P6,2,0,0,2,55,5.212427377700806,Gemini2.5 Pro,Negamax2
Gemini2.5 Pro P6 T0.25,gpt4o P6,2,0,0,2,69,23.634772062301636,Gemini2.5 Pro,gpt4o
LeChat P10,o1 P8,1,1,0,2,44,26.330976486206055,LeChat,o1
Gemini2.5 Pro P6,o4-mini-high P8,2,0,0,2,73,3.7822611331939697,Gemini2.5 Pro,o4-mini-high
claude3.7-sonnet P8,o4-mini-high P8,0,1,1,2,67,9.763694524765015,claude3.7-sonnet,o4-mini-high
Gemini2.5 Pro P6,gemini-pro-2.0 P8,2,0,0,2,75,26.814748525619507,Gemini2.5 Pro,gemini-pro-2.0
Random Bot,gemini-flash-2.0 P6,0,2,0,2,15,0.6248717308044434,RandomBot,gemini-flash-2.0
LeChat P6,gemini-flash-2.0 P8,1,0,1,2,53,6.9998345375061035,LeChat,gemini-flash-2.0
o3-mini-high P6,r1 T0.25,2,0,0,2,27,11.220211267471313,o3-mini-high,r1
Negamax5 P6,QwQ P6,1,1,0,2,70,10.807189702987671,Negamax5,QwQ
Negamax3 P6,Qwen3 P6,0,2,0,2,43,4.338769197463989,Negamax3,Qwen3
Negamax2 P8,Random Bot,2,0,0,2,17,1.5225811004638672,Negamax2,RandomBot
Negamax P6,claude3.7-sonnet-thinking P8,0,2,0,2,37,14.028178215026855,Negamax,claude3.7-sonnet-thinking
o4-mini-high P8,same.dev P6,1,1,0,2,62,3.3966763019561768,o4-mini-high,same.dev
Gemma2 P6,o1 P6,0,2,0,2,27,4.182661294937134,Gemma2,o1
Negamax5 P6,claude3.7-sonnet P8,1,1,0,2,72,10.743557214736938,Negamax5,claude3.7-sonnet
Negamax2 P8,gpt4o P6,0,2,0,2,61,16.802648544311523,Negamax2,gpt4o
Qwen3 P6,gemini-flash-2.0 P6,2,0,0,2,31,4.657407999038696,Qwen3,gemini-flash-2.0
o3 P6,o4-mini-high P6,0,2,0,2,33,4.441727161407471,o3,o4-mini-high
Negamax3 P8,claude3.7-sonnet-thinking P6,0,2,0,2,55,17.606465101242065,Negamax3,claude3.7-sonnet-thinking
Negamax5 P8,gemini-pro-2.0 P6,1,0,1,2,76,5.5588672161102295,Negamax5,gemini-pro-2.0
Negamax5B P10,o3 P6,2,0,0,2,39,10.449604511260986,Negamax5B,o3
Negamax2 P6,o1 P8,0,2,0,2,59,28.018616914749146,Negamax2,o1
Qwen3 P6,gemini-flash-2.0 P8,2,0,0,2,31,7.846897840499878,Qwen3,gemini-flash-2.0
Negamax3 P6,QwQ P6,0,2,0,2,41,11.745876789093018,Negamax3,QwQ
Negamax3 P6,o3-mini-high P6,0,2,0,2,57,6.642341375350952,Negamax3,o3-mini-high
Gemini2.5 Pro P4 T0.25,gemini-flash-2.0 P6,2,0,0,2,25,2.6903188228607178,Gemini2.5 Pro,gemini-flash-2.0
Negamax2 P8,same.dev P6,2,0,0,2,17,1.9760828018188477,Negamax2,same.dev
Gemma2 P6,QwQ P6,0,2,0,2,25,9.402944564819336,Gemma2,QwQ
Negamax3 P8,Random Bot,2,0,0,2,15,5.491603136062622,Negamax3,RandomBot
Negamax3 P6,o3 P10,2,0,0,2,53,14.06166124343872,Negamax3,o3
o4-mini-high P6,r1 T0.5,1,0,1,2,53,13.039700269699097,o4-mini-high,r1
gemini-pro-2.0 P6,o4-mini-high P12,0,1,1,2,78,13.29161024093628,gemini-pro-2.0,o4-mini-high
gemini-pro-2.0 P8,o3 P6,2,0,0,2,55,24.167997121810913,gemini-pro-2.0,o3
Gemini2.5 Pro P6,Negamax P6,2,0,0,2,55,12.352503538131714,Gemini2.5 Pro,Negamax
Gemini2.5 Pro P6,Negamax3 P8,2,0,0,2,63,16.627700805664062,Gemini2.5 Pro,Negamax3
Gemini2.5 Flash Thinking P8,QwQ P6,0,2,0,2,43,13.109205722808838,Gemini2.5 Flash Thinking,QwQ
Gemini2.5 Flash Thinking P8,o1 P6,0,2,0,2,29,5.00767183303833,Gemini2.5 Flash Thinking,o1
gpt4o P10,o3 P10,2,0,0,2,29,18.08018922805786,gpt4o,o3
Gemma2 P8,gemini-pro-2.0 P6,0,2,0,2,17,6.981021404266357,Gemma2,gemini-pro-2.0
LeChat P8,gemini-flash-2.0 P6,1,0,1,2,81,6.149278163909912,LeChat,gemini-flash-2.0
Gemini2.5 Pro P6 T0.25,claude3.7-sonnet P10,1,1,0,2,62,12.855752944946289,Gemini2.5 Pro,claude3.7-sonnet
Gemini2.5 Flash Thinking P8,Gemini2.5 Pro P6 T0.25,0,2,0,2,47,4.740074157714844,Gemini2.5 Flash Thinking,Gemini2.5 Pro
Random Bot,gpt4o P6,0,2,0,2,25,8.777203559875488,RandomBot,gpt4o
Negamax5 P6,o1 P6,2,0,0,2,81,3.9543867111206055,Negamax5,o1
gemini-pro-2.0 P8,o4-mini-high P6,1,1,0,2,60,16.814006090164185,gemini-pro-2.0,o4-mini-high
LeChat P8,gemini-pro-2.0 P8,2,0,0,2,65,20.6583251953125,LeChat,gemini-pro-2.0
Gemini2.5 Pro P6,gemini-flash-2.0-thinking P8,2,0,0,2,57,23.78675889968872,Gemini2.5 Pro,gemini-flash-2.0-thinking
Negamax5 P8,o4-mini-high P10,0,1,1,2,72,4.260350942611694,Negamax5,o4-mini-high
Negamax3 P8,gpt4o P10,0,2,0,2,59,22.219889402389526,Negamax3,gpt4o
gemini-pro-2.0 P6,o3 P6,2,0,0,2,37,6.925924062728882,gemini-pro-2.0,o3
o4-mini-high P10,o4-mini-high P12,0,0,2,2,84,15.376544952392578,o4-mini-high,o4-mini-high
Gemini2.5 Flash Thinking P6,same.dev P6,0,2,0,2,31,1.6074228286743164,Gemini2.5 Flash Thinking,same.dev
Negamax5B P10,claude3.7-sonnet-thinking P8,0,1,1,2,77,25.584392309188843,Negamax5B,claude3.7-sonnet-thinking
Negamax5 P10,claude3.7-sonnet P8,1,1,0,2,50,15.75858998298645,Negamax5,claude3.7-sonnet
gemini-flash-2.0-thinking P6,o3-mini-high P6,1,1,0,2,64,8.43624210357666,gemini-flash-2.0-thinking,o3-mini-high
Random Bot,same.dev P6,0,2,0,2,17,0.0,RandomBot,same.dev
Negamax5B P8,gemini-flash-2.0-thinking P8,1,1,0,2,76,16.98803424835205,Negamax5B,gemini-flash-2.0-thinking
o4-mini-high P8,r1 T0.25,1,0,1,2,53,13.259607076644897,o4-mini-high,r1
Negamax5 P10,gemini-flash-2.0 P8,1,0,1,2,61,14.237596988677979,Negamax5,gemini-flash-2.0
Gemini2.5 Pro P4 T0.25,Negamax2 P6,2,0,0,2,43,2.309483051300049,Gemini2.5 Pro,Negamax2
Negamax3 P8,o3 P10,1,1,0,2,50,22.8641300201416,Negamax3,o3
Negamax3 P6,gemini-flash-2.0 P6,2,0,0,2,35,3.6700847148895264,Negamax3,gemini-flash-2.0
Negamax5 P8,r1 T0.5,1,0,1,2,61,16.419989347457886,Negamax5,r1
Gemini2.5 Pro P4 T0.25,Negamax5 P8,0,1,1,2,82,3.333481788635254,Gemini2.5 Pro,Negamax5
Default Bot,Gemini2.5 Pro P6,0,2,0,2,21,2.1742169857025146,DefaultBot,Gemini2.5 Pro
Negamax3 P6,claude3.7-sonnet-thinking P6,0,2,0,2,37,5.755149602890015,Negamax3,claude3.7-sonnet-thinking
Gemini2.5 Flash Thinking P6,gemini-flash-2.0-thinking P6,0,2,0,2,27,2.0573902130126953,Gemini2.5 Flash Thinking,gemini-flash-2.0-thinking
Default Bot,claude3.7-sonnet-thinking P8,0,2,0,2,21,5.268186330795288,DefaultBot,claude3.7-sonnet-thinking
Gemini2.5 Pro P4 T0.25,gpt4o P10,2,0,0,2,67,19.877381324768066,Gemini2.5 Pro,gpt4o
gemini-pro-2.0 P6,o4-mini-high P6,0,1,1,2,78,4.94777250289917,gemini-pro-2.0,o4-mini-high
Negamax5B P8,gemini-pro-2.0 P6,1,0,1,2,76,7.2216973304748535,Negamax5B,gemini-pro-2.0
Negamax5 P10,o3 P8,2,0,0,2,47,17.166339874267578,Negamax5,o3
claude3.7-sonnet P6,o3 P10,1,1,0,2,24,9.807688474655151,claude3.7-sonnet,o3
Default Bot,Gemini2.5 Flash Thinking P8,1,1,0,2,30,1.847919225692749,DefaultBot,Gemini2.5 Flash Thinking
Negamax4 P10,gemini-flash-2.0-thinking P6,2,0,0,2,63,54.176029682159424,Negamax4,gemini-flash-2.0-thinking
Gemma2 P6,same.dev P6,2,0,0,2,17,1.1536943912506104,Gemma2,same.dev
Gemini2.5 Flash Thinking P6,gpt4o P8,0,2,0,2,49,13.514858722686768,Gemini2.5 Flash Thinking,gpt4o
claude3.7-sonnet P10,gemini-pro-2.0 P6,0,2,0,2,31,7.198136568069458,claude3.7-sonnet,gemini-pro-2.0
Negamax5 P6,Negamax5B P10,0,0,2,2,84,9.171979188919067,Negamax5,Negamax5B
Gemini2.5 Pro P6,gemini-pro-2.0 P6,2,0,0,2,67,12.689254760742188,Gemini2.5 Pro,gemini-pro-2.0
Gemini2.5 Flash Thinking P6,gemini-flash-2.0 P6,0,2,0,2,49,1.7904150485992432,Gemini2.5 Flash Thinking,gemini-flash-2.0
gemini-flash-2.0-thinking P8,gpt4o P10,1,1,0,2,54,36.556406021118164,gemini-flash-2.0-thinking,gpt4o
claude3.7-sonnet P10,o1 P8,0,2,0,2,39,21.488140106201172,claude3.7-sonnet,o1
gemini-pro-2.0 P8,gpt4o P10,2,0,0,2,71,44.803882122039795,gemini-pro-2.0,gpt4o
o4-mini-high P12,same.dev P6,1,1,0,2,62,14.477484941482544,o4-mini-high,same.dev
gemini-flash-2.0-thinking P6,same.dev P6,2,0,0,2,23,1.5818333625793457,gemini-flash-2.0-thinking,same.dev
gemini-flash-2.0 P6,same.dev P6,1,1,0,2,40,2.5832948684692383,gemini-flash-2.0,same.dev
Negamax P6,Negamax5 P10,0,2,0,2,61,19.496582746505737,Negamax,Negamax5
claude3.7-sonnet-thinking P8,o3 P8,2,0,0,2,41,20.619800329208374,claude3.7-sonnet-thinking,o3
o1 P8,o3 P8,1,1,0,2,62,48.72694182395935,o1,o3
Gemini2.5 Pro P6 T0.25,Negamax4 P8,1,1,0,2,72,7.0509326457977295,Gemini2.5 Pro,Negamax4
gemini-flash-2.0 P8,same.dev P6,0,2,0,2,35,9.34853982925415,gemini-flash-2.0,same.dev
gemini-pro-2.0 P8,o1 P8,2,0,0,2,77,67.90565419197083,gemini-pro-2.0,o1
Gemma2 P8,LeChat P8,2,0,0,2,21,11.874386072158813,Gemma2,LeChat
Gemini2.5 Flash Thinking P6,Negamax P6,1,1,0,2,40,5.299190521240234,Gemini2.5 Flash Thinking,Negamax
Gemini2.5 Pro P4 T0.25,Negamax2 P8,2,0,0,2,43,19.141693592071533,Gemini2.5 Pro,Negamax2
Negamax5 P6,r1 T0.5,2,0,0,2,47,11.764232635498047,Negamax5,r1
Negamax2 P6,Negamax5B P6,0,2,0,2,67,0.7656500339508057,Negamax2,Negamax5B
Negamax P6,gpt4o P10,0,2,0,2,45,20.623966932296753,Negamax,gpt4o
Negamax5 P10,Qwen3 P6,1,0,1,2,54,19.654062271118164,Negamax5,Qwen3
gpt4o P6,o1 P8,2,0,0,2,61,38.56629157066345,gpt4o,o1
Negamax5 P8,o3 P6,2,0,0,2,41,7.963619709014893,Negamax5,o3
Gemini2.5 Pro P6 T0.25,Negamax3 P8,2,0,0,2,43,25.335007190704346,Gemini2.5 Pro,Negamax3
Gemma2 P6,gemini-pro-2.0 P8,0,2,0,2,17,5.897494554519653,Gemma2,gemini-pro-2.0
Gemini2.5 Pro P6,Gemma2 P6,2,0,0,2,19,3.950923204421997,Gemini2.5 Pro,Gemma2
Gemini2.5 Flash Thinking P6,gemini-pro-2.0 P8,0,2,0,2,31,12.999931335449219,Gemini2.5 Flash Thinking,gemini-pro-2.0
Gemma2 P8,Negamax4 P8,0,2,0,2,63,24.098183155059814,Gemma2,Negamax4
Negamax3 P6,o4-mini-high P10,0,2,0,2,53,2.5439090728759766,Negamax3,o4-mini-high
o3 P10,o3-mini-high P6,1,1,0,2,30,9.7158944606781,o3,o3-mini-high
Negamax3 P6,r1 T0.5,2,0,0,2,17,4.201328754425049,Negamax3,r1
claude3.7-sonnet-thinking P6,gpt4o P8,1,1,0,2,76,25.22745108604431,claude3.7-sonnet-thinking,gpt4o
o1 P8,o4-mini-high P8,0,1,1,2,80,36.90714645385742,o1,o4-mini-high
Gemma2 P8,claude3.7-sonnet-thinking P8,0,2,0,2,19,9.90831971168518,Gemma2,claude3.7-sonnet-thinking
Negamax4 P8,gemini-pro-2.0 P8,1,0,1,2,82,21.253389596939087,Negamax4,gemini-pro-2.0
Gemini2.5 Pro P6 T0.25,gemini-flash-2.0 P8,2,0,0,2,29,6.996414422988892,Gemini2.5 Pro,gemini-flash-2.0
Default Bot,gemini-pro-2.0 P8,0,2,0,2,17,6.229715347290039,DefaultBot,gemini-pro-2.0
Negamax5 P10,o1 P6,2,0,0,2,83,13.933519840240479,Negamax5,o1
Default Bot,Gemma2 P8,0,2,0,2,17,8.7381112575531,DefaultBot,Gemma2
Gemma2 P8,Negamax5 P6,0,2,0,2,59,12.869460105895996,Gemma2,Negamax5
Negamax P6,gpt4o P8,0,2,0,2,55,22.295132875442505,Negamax,gpt4o
Qwen3 P6,o4-mini-high P6,0,2,0,2,29,2.7355399131774902,Qwen3,o4-mini-high
claude3.7-sonnet P8,o4-mini-high P12,0,2,0,2,61,20.91499972343445,claude3.7-sonnet,o4-mini-high
LeChat P8,Negamax3 P6,1,1,0,2,46,5.29193115234375,LeChat,Negamax3
Default Bot,Negamax5B P6,0,2,0,2,17,0.10266852378845215,DefaultBot,Negamax5B
gemini-flash-2.0-thinking P8,o3 P8,2,0,0,2,55,28.90132236480713,gemini-flash-2.0-thinking,o3
Negamax5B P8,o4-mini-high P10,0,1,1,2,72,4.726535081863403,Negamax5B,o4-mini-high
claude3.7-sonnet P8,gemini-flash-2.0-thinking P6,0,2,0,2,31,6.162367343902588,claude3.7-sonnet,gemini-flash-2.0-thinking
claude3.7-sonnet-thinking P6,gemini-pro-2.0 P8,0,2,0,2,65,22.403759241104126,claude3.7-sonnet-thinking,gemini-pro-2.0
LeChat P8,o4-mini-high P6,0,1,1,2,80,4.804766416549683,LeChat,o4-mini-high
Negamax2 P6,gemini-pro-2.0 P6,0,2,0,2,39,4.946637153625488,Negamax2,gemini-pro-2.0
Gemini2.5 Flash Thinking P6,LeChat P8,0,2,0,2,33,5.628332853317261,Gemini2.5 Flash Thinking,LeChat
Gemini2.5 Pro P6 T0.25,LeChat P6,0,2,0,2,77,5.645308971405029,Gemini2.5 Pro,LeChat
gemini-flash-2.0 P8,o4-mini-high P6,0,1,1,2,53,6.024356842041016,gemini-flash-2.0,o4-mini-high
gemini-flash-2.0-thinking P8,o4-mini-high P12,1,1,0,2,54,33.72436451911926,gemini-flash-2.0-thinking,o4-mini-high
Gemini2.5 Flash Thinking P6,Random Bot,2,0,0,2,41,0.68398118019104,Gemini2.5 Flash Thinking,RandomBot
Negamax4 P4 T0.25,gpt4o P10,0,1,1,2,81,18.33796453475952,Negamax4,gpt4o
Negamax5B P10,o3 P8,2,0,0,2,47,17.179146766662598,Negamax5B,o3
claude3.7-sonnet P10,o3 P8,1,1,0,2,24,8.460543870925903,claude3.7-sonnet,o3
o3 P6,r1 T0.25,1,1,0,2,24,8.077989101409912,o3,r1
Negamax P6,r1 T0.5,2,0,0,2,17,8.275294780731201,Negamax,r1
Gemini2.5 Flash Thinking P6,o3-mini-high P6,0,2,0,2,25,2.9206058979034424,Gemini2.5 Flash Thinking,o3-mini-high
LeChat P10,LeChat P6,0,0,2,2,84,12.212763786315918,LeChat,LeChat
LeChat P8,o3 P10,2,0,0,2,27,10.446783304214478,LeChat,o3
Gemini2.5 Pro P6,o4-mini-high P10,0,1,1,2,67,10.079183340072632,Gemini2.5 Pro,o4-mini-high
QwQ P6,claude3.7-sonnet P6,1,1,0,2,42,17.602439880371094,QwQ,claude3.7-sonnet
Gemini2.5 Pro P6,o3 P6,2,0,0,2,37,8.128649950027466,Gemini2.5 Pro,o3
Negamax2 P6,o4-mini-high P8,0,2,0,2,53,0.7036049365997314,Negamax2,o4-mini-high
Negamax3 P6,Negamax4 P6,0,2,0,2,67,0.7817502021789551,Negamax3,Negamax4
Gemini2.5 Pro P6 T0.25,Negamax4 P10,0,1,1,2,78,43.66932487487793,Gemini2.5 Pro,Negamax4
QwQ P6,o4-mini-high P6,1,1,0,2,70,16.873040437698364,QwQ,o4-mini-high
Negamax3 P6,o4-mini-high P6,0,2,0,2,55,0.4071471691131592,Negamax3,o4-mini-high
LeChat P10,Negamax3 P6,1,1,0,2,40,14.063753366470337,LeChat,Negamax3
Gemma2 P6,claude3.7-sonnet-thinking P6,0,2,0,2,17,3.0149474143981934,Gemma2,claude3.7-sonnet-thinking
Negamax4 P6,Negamax4 P8,1,1,0,2,76,2.8364243507385254,Negamax4,Negamax4
Negamax4 P6,gemini-flash-2.0-thinking P8,1,1,0,2,60,14.653447151184082,Negamax4,gemini-flash-2.0-thinking
Negamax4 P8,o3 P6,2,0,0,2,41,10.812467575073242,Negamax4,o3
Negamax5B P8,Random Bot,2,0,0,2,27,1.1598050594329834,Negamax5B,RandomBot
o4-mini-high P10,r1 T0.5,1,0,1,2,53,15.265280961990356,o4-mini-high,r1
claude3.7-sonnet P10,gpt4o P6,1,1,0,2,56,21.31505036354065,claude3.7-sonnet,gpt4o
Negamax3 P6,o1 P8,0,2,0,2,59,30.500152587890625,Negamax3,o1
Gemini2.5 Pro P6 T0.25,gpt4o P8,1,1,0,2,70,22.265454053878784,Gemini2.5 Pro,gpt4o
