Bot,ELO,Wins,Losses,Draws,Win %,W/L Ratio,First Player Wins,Second Player Wins,Bot Type,Avg Execution Time (s)
Default Bot,1200.0,2,2,0,50.00%,1.000,1,1,Default,1.8954
Negamax P1,1169.5,0,2,0,0.00%,0.000,0,0,Negamax,0.5012
Negamax P2,1169.5,0,2,0,0.00%,0.000,0,0,Negamax,2.6099
Negamax P4,1169.5,0,2,0,0.00%,0.000,0,0,Negamax,1.3897
Negamax P6,1169.5,0,2,0,0.00%,0.000,0,0,Negamax,3.0244
Negamax2 P1,1169.5,0,2,0,0.00%,0.000,0,0,Negamax2,5.8325
Negamax2 P2,1173.5,1,3,0,25.00%,0.333,1,0,Negamax2,1.8861
Negamax2 P4,1198.5,1,1,0,50.00%,1.000,1,0,Negamax2,3.5456
Negamax2 P6,1169.5,0,2,0,0.00%,0.000,0,0,Negamax2,0.3317
Negamax2 P8,1230.5,4,2,0,66.67%,2.000,2,2,Negamax2,5.8754
Negamax3 P1,1173.5,1,3,0,25.00%,0.333,0,1,Negamax3,0.0592
Negamax3 P2,1169.5,0,2,0,0.00%,0.000,0,0,Negamax3,1.4224
Negamax3 P4,1169.5,0,2,0,0.00%,0.000,0,0,Negamax3,1.8565
Negamax3 P6,1184.0,0,1,1,25.00%,0.000,0,0,Negamax3,6.4506
Negamax3 P8,1217.9,4,3,1,56.25%,1.333,3,1,Negamax3,6.3863
Negamax4 P1,1169.5,0,2,0,0.00%,0.000,0,0,Negamax4,0.0000
Negamax4 P10,1169.5,0,2,0,0.00%,0.000,0,0,Negamax4,32.0736
Negamax4 P10 T0.01,1198.5,1,1,0,50.00%,1.000,1,0,Negamax4,10.0344
Negamax4 P10 T0.025,1216.0,2,1,1,62.50%,2.000,1,1,Negamax4,10.6812
Negamax4 P10 T0.1,1201.3,2,2,0,50.00%,1.000,1,1,Negamax4,31.0839
Negamax4 P10 T0.25,1200.0,2,2,0,50.00%,1.000,1,1,Negamax4,7.7888
Negamax4 P2,1169.5,0,2,0,0.00%,0.000,0,0,Negamax4,0.7685
Negamax4 P4,1198.5,1,1,0,50.00%,1.000,1,0,Negamax4,15.4275
Negamax4 P4 T0.01,1200.0,2,2,0,50.00%,1.000,1,1,Negamax4,0.3928
Negamax4 P4 T0.025,1200.0,2,2,0,50.00%,1.000,1,1,Negamax4,5.9821
Negamax4 P4 T0.1,1214.8,3,2,1,58.33%,1.500,1,2,Negamax4,2.6734
Negamax4 P4 T0.25,1169.5,0,2,0,0.00%,0.000,0,0,Negamax4,5.8996
Negamax4 P6,1169.5,0,2,0,0.00%,0.000,0,0,Negamax4,7.7470
