Player 1,Player 2,Result,Player 1 First,Timestamp
Negamax2 P8,Neural Bot genomes/checkpoint_gen200.pkl,Player 1 Win,True,2025-03-08 18:10:11.750128
Neural Bot genomes/checkpoint_gen200.pkl,Negamax2 P8,Player 2 Win,True,2025-03-08 18:10:12.675408
Neural Bot genomes/winner.pkl,Negamax4 P4 T0.025,Player 2 Win,True,2025-03-08 18:10:13.197290
Negamax4 P4 T0.025,Neural Bot genomes/winner.pkl,Player 1 Win,True,2025-03-08 18:10:13.435183
Default Bot,Negamax4 P1,Player 1 Win,True,2025-03-08 18:10:13.435183
Negamax4 P1,Default Bot,Player 2 Win,True,2025-03-08 18:10:13.435183
Neural Bot winner_1gen400.pkl,Negamax5B P10 T0.25,Player 2 Win,True,2025-03-08 18:10:17.009469
Negamax5B P10 T0.25,Neural Bot winner_1gen400.pkl,Player 1 Win,True,2025-03-08 18:10:18.822693
Negamax4 P4 T0.25,Negamax5B P4 T0.025,Player 2 Win,True,2025-03-08 18:10:24.944936
Negamax5B P4 T0.025,Negamax4 P4 T0.25,Player 1 Win,True,2025-03-08 18:10:30.621894
Negamax2 P6,Negamax5B P8,Player 2 Win,True,2025-03-08 18:10:30.971055
Negamax5B P8,Negamax2 P6,Player 1 Win,True,2025-03-08 18:10:31.285307
Negamax5B P12 T0.025,Negamax4 P8 T0.01,Player 1 Win,True,2025-03-08 18:10:37.949591
Negamax4 P8 T0.01,Negamax5B P12 T0.025,Player 2 Win,True,2025-03-08 18:11:00.435664
Neural Bot winner_1gen1500.pkl,Negamax5 P12 T0.01,Player 2 Win,True,2025-03-08 18:11:54.375744
Negamax5 P12 T0.01,Neural Bot winner_1gen1500.pkl,Player 1 Win,True,2025-03-08 18:12:02.260401
Negamax5 P6,Negamax2 P2,Player 1 Win,True,2025-03-08 18:12:02.280470
Negamax2 P2,Negamax5 P6,Player 1 Win,True,2025-03-08 18:12:02.363960
Neural Bot winner.pkl,Negamax5B P10 T0.1,Player 2 Win,True,2025-03-08 18:12:03.613340
Negamax5B P10 T0.1,Neural Bot winner.pkl,Player 1 Win,True,2025-03-08 18:12:04.187157
Neural Bot winner_gen700.pkl,Negamax5B P6 T0.25,Player 2 Win,True,2025-03-08 18:12:05.201446
Negamax5B P6 T0.25,Neural Bot winner_gen700.pkl,Player 1 Win,True,2025-03-08 18:12:06.205048
