Rank,Bot,ELO,Wins,Losses,Draws,Win %,W/L Ratio
1,Negamax5B P10 T0.25,1356.3,12,1,1,89.29%,12.000
2,Negamax5B P8 T0.25,1308.6,8,1,3,79.17%,8.000
3,Negamax5B P8 T0.025,1288.7,7,1,4,75.00%,7.000
4,Negamax5B P8 T0.01,1288.3,6,0,4,80.00%,inf
5,Negamax5B P4 T0.1,1280.4,8,3,1,70.83%,2.667
6,Negamax5B P6 T0.25,1275.2,7,2,1,75.00%,3.500
7,Negamax5B P6 T0.1,1275.0,6,1,1,81.25%,6.000
8,Negamax5B P4 T0.01,1261.9,5,1,2,75.00%,5.000
9,Negamax5B P12,1257.1,6,2,0,75.00%,3.000
10,Negamax5 P6 T0.025,1247.6,5,2,1,68.75%,2.500
11,Negamax5 P8 T0.01,1246.2,6,3,1,65.00%,2.000
12,Negamax5 P4 T0.01,1245.0,4,1,1,75.00%,4.000
13,Negamax5 P6 T0.1,1245.0,4,1,1,75.00%,4.000
14,Negamax5B P8 T0.1,1244.8,4,1,1,75.00%,4.000
15,Negamax5B P10,1233.6,3,1,4,62.50%,3.000
16,Negamax5B P4 T0.025,1233.1,4,2,0,66.67%,2.000
17,Negamax5B P12 T0.025,1232.2,5,3,0,62.50%,1.667
18,Negamax5B P12 T0.01,1231.7,4,2,0,66.67%,2.000
19,Negamax2 P8,1230.5,4,2,0,66.67%,2.000
20,Negamax5B P10 T0.025,1229.3,4,2,0,66.67%,2.000
21,Negamax5 P12 T0.1,1229.1,3,1,0,75.00%,3.000
22,Negamax5B P8,1229.1,3,1,0,75.00%,3.000
23,Negamax5B P10 T0.1,1228.2,4,2,0,66.67%,2.000
24,Negamax4 P8,1228.1,4,2,0,66.67%,2.000
25,Negamax5 P6 T0.25,1226.9,5,3,0,62.50%,1.667
26,Negamax5B P4 T0.25,1218.6,3,2,1,58.33%,1.500
27,Negamax4 P8 T0.25,1218.5,3,2,1,58.33%,1.500
28,Negamax3 P8,1217.9,4,3,1,56.25%,1.333
29,Negamax5B P6 T0.025,1216.2,2,1,3,58.33%,2.000
30,Negamax4 P8 T0.025,1216.0,2,1,1,62.50%,2.000
31,Negamax4 P10 T0.025,1216.0,2,1,1,62.50%,2.000
32,Negamax5 P10 T0.25,1215.8,2,1,1,62.50%,2.000
33,Negamax4 P4 T0.1,1214.8,3,2,1,58.33%,1.500
34,Negamax5B P4,1214.5,2,1,1,62.50%,2.000
35,Negamax5 P12 T0.25,1214.5,2,1,1,62.50%,2.000
36,Negamax5B P12 T0.1,1214.4,2,1,1,62.50%,2.000
37,Negamax5 P10 T0.025,1201.5,2,2,2,50.00%,1.000
38,Negamax4 P10 T0.1,1201.3,2,2,0,50.00%,1.000
39,Negamax5 P4 T0.25,1201.1,2,2,0,50.00%,1.000
40,Negamax4 P4 T0.01,1200.0,2,2,0,50.00%,1.000
41,Negamax4 P4 T0.025,1200.0,2,2,0,50.00%,1.000
42,Negamax4 P6 T0.1,1200.0,2,2,0,50.00%,1.000
43,Negamax4 P10 T0.25,1200.0,2,2,0,50.00%,1.000
44,Negamax5 P10 T0.01,1200.0,2,2,0,50.00%,1.000
45,Negamax5 P10 T0.1,1200.0,2,2,0,50.00%,1.000
46,Negamax5 P12 T0.01,1200.0,2,2,0,50.00%,1.000
47,Negamax5B P12 T0.25,1200.0,2,2,0,50.00%,1.000
48,Default Bot,1200.0,2,2,0,50.00%,1.000
49,Negamax5 P8 T0.1,1198.7,2,2,0,50.00%,1.000
50,Negamax2 P4,1198.5,1,1,0,50.00%,1.000
51,Negamax4 P4,1198.5,1,1,0,50.00%,1.000
52,Negamax4 P6 T0.01,1198.5,1,1,0,50.00%,1.000
53,Negamax4 P10 T0.01,1198.5,1,1,0,50.00%,1.000
54,Negamax5 P4,1198.5,1,1,0,50.00%,1.000
55,Negamax5 P6,1198.5,1,1,0,50.00%,1.000
56,Negamax5 P4 T0.1,1198.5,1,1,0,50.00%,1.000
57,Neural Bot winner_1gen50.pkl,1198.5,1,1,0,50.00%,1.000
58,Neural Bot genomes/winner_gen100.pkl,1198.5,1,1,0,50.00%,1.000
59,Neural Bot genomes/checkpoint_gen100.pkl,1198.5,1,1,0,50.00%,1.000
60,Negamax5 P12 T0.025,1188.0,1,2,1,37.50%,0.500
61,Negamax5 P12,1186.7,1,2,1,37.50%,0.500
62,Negamax4 P6 T0.025,1185.5,0,1,1,25.00%,0.000
63,Negamax4 P8 T0.1,1185.5,0,1,1,25.00%,0.000
64,Negamax5 P4 T0.025,1185.5,0,1,1,25.00%,0.000
65,Negamax5B P2,1185.5,0,1,1,25.00%,0.000
66,Negamax5 P8,1185.4,1,2,1,37.50%,0.500
67,Negamax3 P6,1184.0,0,1,1,25.00%,0.000
68,Negamax5 P10,1184.0,0,1,1,25.00%,0.000
69,Negamax5 P8 T0.025,1184.0,0,1,1,25.00%,0.000
70,Negamax5B P6,1184.0,0,1,1,25.00%,0.000
71,Negamax5B P6 T0.01,1184.0,0,1,1,25.00%,0.000
72,Negamax5B P10 T0.01,1184.0,0,1,1,25.00%,0.000
73,Negamax2 P2,1173.5,1,3,0,25.00%,0.333
74,Negamax3 P1,1173.5,1,3,0,25.00%,0.333
75,Neural Bot winner_1gen1000.pkl,1173.5,1,3,0,25.00%,0.333
76,Neural Bot genomes/winner2_gen1200.pkl,1173.5,1,3,0,25.00%,0.333
77,Neural Bot genomes/winner6_gen200.pkl,1172.2,1,3,0,25.00%,0.333
78,Negamax5 P8 T0.25,1170.9,1,3,0,25.00%,0.333
79,Negamax P1,1169.5,0,2,0,0.00%,0.000
80,Negamax P2,1169.5,0,2,0,0.00%,0.000
81,Negamax P4,1169.5,0,2,0,0.00%,0.000
82,Negamax P6,1169.5,0,2,0,0.00%,0.000
83,Negamax2 P1,1169.5,0,2,0,0.00%,0.000
84,Negamax2 P6,1169.5,0,2,0,0.00%,0.000
85,Negamax3 P2,1169.5,0,2,0,0.00%,0.000
86,Negamax3 P4,1169.5,0,2,0,0.00%,0.000
87,Negamax4 P1,1169.5,0,2,0,0.00%,0.000
88,Negamax4 P2,1169.5,0,2,0,0.00%,0.000
89,Negamax4 P6,1169.5,0,2,0,0.00%,0.000
90,Negamax4 P10,1169.5,0,2,0,0.00%,0.000
91,Negamax4 P4 T0.25,1169.5,0,2,0,0.00%,0.000
92,Negamax4 P6 T0.25,1169.5,0,2,0,0.00%,0.000
93,Negamax4 P8 T0.01,1169.5,0,2,0,0.00%,0.000
94,Negamax5 P1,1169.5,0,2,0,0.00%,0.000
95,Negamax5 P2,1169.5,0,2,0,0.00%,0.000
96,Negamax5 P6 T0.01,1169.5,0,2,0,0.00%,0.000
97,Negamax5B P1,1169.5,0,2,0,0.00%,0.000
98,Random Bot,1169.5,0,2,0,0.00%,0.000
99,Neural Bot winner.pkl,1169.5,0,2,0,0.00%,0.000
100,Neural Bot winner_gen700.pkl,1169.5,0,2,0,0.00%,0.000
101,Neural Bot winner_gen200.pkl,1169.5,0,2,0,0.00%,0.000
102,Neural Bot winner_gen1000.pkl,1169.5,0,2,0,0.00%,0.000
103,Neural Bot winner_1gen1500.pkl,1169.5,0,2,0,0.00%,0.000
104,Neural Bot winner_gen100.pkl,1169.5,0,2,0,0.00%,0.000
105,Neural Bot winner_1gen400.pkl,1169.5,0,2,0,0.00%,0.000
106,Neural Bot genomes/winner3_gen1000.pkl,1169.5,0,2,0,0.00%,0.000
107,Neural Bot genomes/winner4_gen300.pkl,1169.5,0,2,0,0.00%,0.000
108,Neural Bot genomes/winner5_gen300.pkl,1169.5,0,2,0,0.00%,0.000
109,Neural Bot genomes/winner.pkl,1169.5,0,2,0,0.00%,0.000
110,Neural Bot genomes/winner7_gen900.pkl,1169.5,0,2,0,0.00%,0.000
111,Neural Bot genomes/winne7.pkl,1169.5,0,2,0,0.00%,0.000
112,Neural Bot genomes/winner8_gen300.pkl,1169.5,0,2,0,0.00%,0.000
113,Neural Bot genomes/winner8.pkl,1169.5,0,2,0,0.00%,0.000
114,Neural Bot genomes/winner9_gen800.pkl,1169.5,0,2,0,0.00%,0.000
115,Neural Bot genomes/winner3_gen800.pkl,1169.5,0,2,0,0.00%,0.000
116,Neural Bot genomes/checkpoint_gen200.pkl,1169.5,0,2,0,0.00%,0.000
