Bot,wins,losses,draws,type,depth,time_limit,neural_gen,total_moves,total_time,matches_played
Negamax P1,58,402,0,Negamax,1.0,,,6564,1886.4386551380157,115
Negamax P2,143,294,23,Negamax,2.0,,,11227,2526.222944021225,115
Negamax P4,176,253,31,Negamax,4.0,,,12702,2767.5937044620514,115
Negamax P6,215,201,44,Negamax,6.0,,,13167,4973.678139448166,115
Negamax2 P1,42,418,0,Negamax2,1.0,,,6738,2060.5976951122284,115
Negamax2 P2,143,298,19,Negamax2,2.0,,,11044,2545.9035787582397,115
Negamax2 P4,188,226,46,Negamax2,4.0,,,12692,2360.5121870040894,115
Negamax2 P6,210,201,49,Negamax2,6.0,,,12946,3185.0149002075195,115
Negamax2 P8,230,175,55,Negamax2,8.0,,,13370,4397.37188744545,115
Negamax3 P1,54,404,2,Negamax3,1.0,,,6613,2372.3387537002563,115
Negamax3 P2,148,285,27,Negamax3,2.0,,,11326,2260.8874106407166,115
Negamax3 P4,177,254,29,Negamax3,4.0,,,12723,2748.7189395427704,115
Negamax3 P6,213,195,52,Negamax3,6.0,,,13427,2681.0156724452972,115
Negamax3 P8,231,165,64,Negamax3,8.0,,,13911,4543.652951955795,115
Negamax4 P1,47,413,0,Negamax4,1.0,,,6591,2213.350241422653,115
Negamax4 P2,147,298,15,Negamax4,2.0,,,11039,2598.5178594589233,115
Negamax4 P4,182,237,41,Negamax4,4.0,,,12903,2450.537193775177,115
Negamax4 P6,208,195,57,Negamax4,6.0,,,13454,2539.137764930725,115
Negamax4 P8,246,156,58,Negamax4,8.0,,,13890,4140.255017995834,115
Negamax4 P10,267,112,81,Negamax4,10.0,,,13939,16079.296019077301,115
Negamax4 P4 T0.01,183,245,32,Negamax4,4.0,0.01,,12675,2482.4561853408813,115
Negamax4 P4 T0.025,186,232,42,Negamax4,4.0,0.025,,12907,2750.1465475559235,115
Negamax4 P4 T0.1,181,238,41,Negamax4,4.0,0.1,,12937,3144.2929232120514,115
Negamax4 P4 T0.25,183,235,42,Negamax4,4.0,0.25,,12891,2235.943100452423,115
Negamax4 P6 T0.01,210,187,63,Negamax4,6.0,0.01,,13570,2926.948359966278,115
Negamax4 P6 T0.025,191,213,56,Negamax4,6.0,0.025,,13580,2751.380465745926,115
Negamax4 P6 T0.1,207,207,46,Negamax4,6.0,0.1,,13365,2808.8861894607544,115
Negamax4 P6 T0.25,203,209,48,Negamax4,6.0,0.25,,13386,2521.5190255641937,115
Negamax4 P8 T0.01,230,174,56,Negamax4,8.0,0.01,,13843,4776.234514474869,115
Negamax4 P8 T0.025,227,170,63,Negamax4,8.0,0.025,,13925,4162.409875154495,115
Negamax4 P8 T0.1,231,178,51,Negamax4,8.0,0.1,,13531,3851.1696882247925,115
Negamax4 P8 T0.25,234,181,45,Negamax4,8.0,0.25,,13772,3523.4212794303894,115
Negamax4 P10 T0.01,257,141,62,Negamax4,10.0,0.01,,14114,16018.18348312378,115
Negamax4 P10 T0.025,264,137,59,Negamax4,10.0,0.025,,14052,15047.80754995346,115
Negamax4 P10 T0.1,270,133,57,Negamax4,10.0,0.1,,13994,15355.76863694191,115
Negamax4 P10 T0.25,256,135,69,Negamax4,10.0,0.25,,14234,13548.355791330338,115
Negamax5 P1,70,388,2,Negamax5,1.0,,,7173,2184.659693002701,115
Negamax5 P2,176,248,36,Negamax5,2.0,,,11428,2577.517853498459,115
Negamax5 P4,205,194,61,Negamax5,4.0,,,12964,2893.9705362319946,115
Negamax5 P6,226,163,71,Negamax5,6.0,,,13502,2635.8449518680573,115
Negamax5 P8,255,134,71,Negamax5,8.0,,,13396,3182.3793408870697,115
Negamax5 P10,272,135,53,Negamax5,10.0,,,13439,6174.5653648376465,115
Negamax5 P12,295,104,61,Negamax5,12.0,,,13538,17976.779512405396,115
Negamax5 P4 T0.01,206,191,63,Negamax5,4.0,0.01,,12681,2466.0671484470367,115
Negamax5 P4 T0.025,192,211,57,Negamax5,4.0,0.025,,13051,2425.615662574768,115
Negamax5 P4 T0.1,217,180,63,Negamax5,4.0,0.1,,13010,2263.1616117954254,115
Negamax5 P4 T0.25,203,200,57,Negamax5,4.0,0.25,,12903,2181.414341688156,115
Negamax5 P6 T0.01,227,164,69,Negamax5,6.0,0.01,,13478,2285.8295707702637,115
Negamax5 P6 T0.025,224,166,70,Negamax5,6.0,0.025,,13260,2467.3168540000916,115
Negamax5 P6 T0.1,237,174,49,Negamax5,6.0,0.1,,13235,2297.039724588394,115
Negamax5 P6 T0.25,234,159,67,Negamax5,6.0,0.25,,13530,2264.7452144622803,115
Negamax5 P8 T0.01,259,125,76,Negamax5,8.0,0.01,,13454,2552.089148044586,115
Negamax5 P8 T0.025,245,152,63,Negamax5,8.0,0.025,,13608,2753.3509798049927,115
Negamax5 P8 T0.1,256,146,58,Negamax5,8.0,0.1,,13422,3213.699397802353,115
Negamax5 P8 T0.25,262,134,64,Negamax5,8.0,0.25,,13525,3087.596053123474,115
Negamax5 P10 T0.01,280,116,64,Negamax5,10.0,0.01,,13487,5487.553194522858,115
Negamax5 P10 T0.025,260,128,72,Negamax5,10.0,0.025,,13528,5464.294145584106,115
Negamax5 P10 T0.1,274,132,54,Negamax5,10.0,0.1,,13394,5650.52340555191,115
Negamax5 P10 T0.25,282,118,60,Negamax5,10.0,0.25,,13475,5475.38161277771,115
Negamax5 P12 T0.01,290,104,66,Negamax5,12.0,0.01,,13889,17385.834942102432,115
Negamax5 P12 T0.025,284,109,67,Negamax5,12.0,0.025,,13614,19254.096621274948,115
Negamax5 P12 T0.1,289,104,67,Negamax5,12.0,0.1,,13837,18593.232798814774,115
Negamax5 P12 T0.25,290,111,59,Negamax5,12.0,0.25,,13479,19156.621296405792,115
Negamax5B P1,103,325,32,Negamax5B,1.0,,,8497,1664.0498313903809,115
Negamax5B P2,257,110,93,Negamax5B,2.0,,,12277,1852.9471278190613,115
Negamax5B P4,300,44,116,Negamax5B,4.0,,,13586,2024.0939121246338,115
Negamax5B P6,326,21,113,Negamax5B,6.0,,,13561,2194.0231564044952,115
Negamax5B P8,336,40,84,Negamax5B,8.0,,,13491,2047.365850687027,115
Negamax5B P10,343,7,110,Negamax5B,10.0,,,13639,3992.6694276332855,115
Negamax5B P12,355,6,99,Negamax5B,12.0,,,13624,15002.783190488815,115
Negamax5B P4 T0.01,304,35,121,Negamax5B,4.0,0.01,,13760,1864.434280872345,115
Negamax5B P4 T0.025,315,26,119,Negamax5B,4.0,0.025,,13754,1807.3698191642761,115
Negamax5B P4 T0.1,315,33,112,Negamax5B,4.0,0.1,,13628,1853.947479724884,115
Negamax5B P4 T0.25,311,43,106,Negamax5B,4.0,0.25,,13814,1615.7244293689728,115
Negamax5B P6 T0.01,319,25,116,Negamax5B,6.0,0.01,,13779,1905.065311908722,115
Negamax5B P6 T0.025,316,29,115,Negamax5B,6.0,0.025,,13610,2115.2830770015717,115
Negamax5B P6 T0.1,321,23,116,Negamax5B,6.0,0.1,,13529,2052.9388661384583,115
Negamax5B P6 T0.25,308,30,122,Negamax5B,6.0,0.25,,13551,1869.4928131103516,115
Negamax5B P8 T0.01,332,46,82,Negamax5B,8.0,0.01,,13476,2835.6159217357635,115
Negamax5B P8 T0.025,334,39,87,Negamax5B,8.0,0.025,,13417,2288.2111690044403,115
Negamax5B P8 T0.1,333,41,86,Negamax5B,8.0,0.1,,13648,2066.0264303684235,115
Negamax5B P8 T0.25,326,42,92,Negamax5B,8.0,0.25,,13515,2198.1571509838104,115
Negamax5B P10 T0.01,335,9,116,Negamax5B,10.0,0.01,,13754,3983.933689594269,115
Negamax5B P10 T0.025,344,9,107,Negamax5B,10.0,0.025,,13783,3861.7229952812195,115
Negamax5B P10 T0.1,335,7,118,Negamax5B,10.0,0.1,,13715,4192.57387137413,115
Negamax5B P10 T0.25,342,8,110,Negamax5B,10.0,0.25,,13791,4236.127957105637,115
Negamax5B P12 T0.01,354,6,100,Negamax5B,12.0,0.01,,13559,14934.433319091797,115
Negamax5B P12 T0.025,336,9,115,Negamax5B,12.0,0.025,,13734,14237.940799474716,115
Negamax5B P12 T0.1,347,12,101,Negamax5B,12.0,0.1,,13723,13919.41289806366,115
Negamax5B P12 T0.25,353,8,99,Negamax5B,12.0,0.25,,13638,14958.887683153152,115
Default Bot,82,377,1,DefaultBot,,,,5544,1709.81121301651,115
Random Bot,25,434,1,RandomBot,,,,6704,1667.2764790058136,115
Neural Bot winner.pkl,49,411,0,NeuralBot,,,,5781,1466.313025712967,115
Neural Bot winner_gen700.pkl,38,422,0,NeuralBot,,,700.0,5746,1080.3812787532806,115
Neural Bot winner_1gen1000.pkl,59,401,0,NeuralBot,,,1000.0,5295,1331.9751152992249,115
Neural Bot winner_gen200.pkl,76,384,0,NeuralBot,,,200.0,5970,1277.9892570972443,115
Neural Bot winner_gen1000.pkl,76,384,0,NeuralBot,,,1000.0,6458,6289.74125289917,115
Neural Bot winner_1gen1500.pkl,90,370,0,NeuralBot,,,1500.0,6390,3825.7394545078278,115
Neural Bot winner_gen100.pkl,54,406,0,NeuralBot,,,100.0,6812,1582.8543570041656,115
Neural Bot winner_1gen400.pkl,38,422,0,NeuralBot,,,400.0,5414,3402.268551826477,115
Neural Bot winner_1gen50.pkl,30,430,0,NeuralBot,,,50.0,5460,1527.9293785095215,115
Neural Bot genomes/winner2_gen1200.pkl,105,314,41,NeuralBot,,,2.0,9031,1602.163523197174,115
Neural Bot genomes/winner3_gen1000.pkl,90,370,0,NeuralBot,,,3.0,8240,1293.963151216507,115
Neural Bot genomes/winner4_gen300.pkl,77,383,0,NeuralBot,,,4.0,7305,1598.30588722229,115
Neural Bot genomes/winner_gen100.pkl,55,405,0,NeuralBot,,,,7011,1976.6587970256805,115
Neural Bot genomes/winner5_gen300.pkl,83,374,3,NeuralBot,,,5.0,7673,1455.870768070221,115
Neural Bot genomes/winner.pkl,67,393,0,NeuralBot,,,,7449,1510.3181965351105,115
Neural Bot genomes/winner6_gen200.pkl,70,390,0,NeuralBot,,,6.0,7144,2000.556435585022,115
Neural Bot genomes/winner7_gen900.pkl,79,377,4,NeuralBot,,,7.0,7519,1332.9232757091522,115
Neural Bot genomes/winne7.pkl,74,381,5,NeuralBot,,,7.0,7644,1572.7614252567291,115
Neural Bot genomes/winner8_gen300.pkl,75,385,0,NeuralBot,,,8.0,7409,1405.9023377895355,115
Neural Bot genomes/winner8.pkl,78,382,0,NeuralBot,,,8.0,7146,1281.400001525879,115
