bot1,bot2,bot1_wins,bot2_wins,draws,total_moves,total_time,bot1_type,bot2_type
Negamax3 P4,Neural Bot genomes/winner_gen100.pkl,4,0,0,46,0.06396222114562988,Negamax3,NeuralBot
Neural Bot genomes/winner5_gen300.pkl,Neural Bot genomes/winner8_gen300.pkl,2,2,0,52,0.014952659606933594,NeuralBot,NeuralBot
Negamax2 P2,Neural Bot genomes/winne7.pkl,3,1,0,77,0.01369929313659668,Negamax2,NeuralBot
Negamax4 P1,Negamax5B P4 T0.025,0,4,0,32,0.027156591415405273,Negamax4,Negamax5B
Negamax3 P4,Neural Bot genomes/winner7_gen900.pkl,4,0,0,84,0.0855247974395752,Negamax3,NeuralBot
Neural Bot winner_1gen50.pkl,Neural Bot genomes/winner5_gen300.pkl,0,4,0,30,0.019023895263671875,NeuralBot,NeuralBot
Negamax4 P4 T0.025,Default Bot,4,0,0,78,0.044466495513916016,Negamax4,DefaultBot
Negamax5 P6 T0.025,Neural Bot genomes/winner8.pkl,4,0,0,60,0.3122696876525879,Negamax5,NeuralBot
Negamax5 P1,Neural Bot winner_gen100.pkl,3,1,0,61,0.040433406829833984,Negamax5,NeuralBot
Neural Bot genomes/winner3_gen800.pkl,Neural Bot genomes/checkpoint_gen200.pkl,4,0,0,42,0.13436007499694824,NeuralBot,NeuralBot
Negamax4 P6 T0.25,Neural Bot winner_1gen400.pkl,4,0,0,64,0.440443754196167,Negamax4,NeuralBot
Negamax5 P6 T0.1,Neural Bot genomes/winner5_gen300.pkl,4,0,0,62,0.3229491710662842,Negamax5,NeuralBot
Negamax4 P4 T0.1,Neural Bot winner_gen1000.pkl,4,0,0,64,0.08828258514404297,Negamax4,NeuralBot
Negamax2 P1,Negamax4 P6 T0.01,0,4,0,84,0.4996299743652344,Negamax2,Negamax4
Negamax4 P6 T0.1,Neural Bot genomes/checkpoint_gen200.pkl,4,0,0,62,0.5284128189086914,Negamax4,NeuralBot
Negamax5 P6 T0.01,Neural Bot winner_1gen1500.pkl,4,0,0,78,0.8232183456420898,Negamax5,NeuralBot
Negamax2 P2,Negamax5B P4 T0.25,0,4,0,100,0.08873152732849121,Negamax2,Negamax5B
Negamax5B P6 T0.025,Neural Bot winner_1gen400.pkl,4,0,0,34,0.5199997425079346,Negamax5B,NeuralBot
Negamax4 P6 T0.01,Negamax4 P6 T0.1,3,1,0,129,1.6395072937011719,Negamax4,Negamax4
Negamax5 P8 T0.1,Neural Bot genomes/winner3_gen800.pkl,4,0,0,78,2.450240135192871,Negamax5,NeuralBot
Negamax5 P8 T0.01,Negamax5B P6,0,1,3,152,2.6658473014831543,Negamax5,Negamax5B
Negamax5 P8,Neural Bot winner_1gen400.pkl,4,0,0,52,3.068251132965088,Negamax5,NeuralBot
Negamax5B P6 T0.01,Random Bot,4,0,0,32,0.19859695434570312,Negamax5B,RandomBot
Negamax5B P6 T0.25,Negamax5B P8 T0.25,0,2,2,160,3.2216057777404785,Negamax5B,Negamax5B
Negamax2 P2,Negamax5 P8 T0.25,0,4,0,114,4.355784893035889,Negamax2,Negamax5
Negamax4 P8,Negamax5 P4,2,0,2,131,6.363004684448242,Negamax4,Negamax5
Negamax5B P8 T0.025,Neural Bot winner_gen1000.pkl,4,0,0,70,3.9390487670898438,Negamax5B,NeuralBot
Negamax4 P6 T0.1,Neural Bot genomes/winner4_gen300.pkl,4,0,0,92,0.43732643127441406,Negamax4,NeuralBot
Negamax3 P6,Negamax5 P8 T0.01,1,2,1,128,4.928900241851807,Negamax3,Negamax5
Negamax5 P4 T0.1,Neural Bot genomes/winner7_gen900.pkl,4,0,0,70,0.0528254508972168,Negamax5,NeuralBot
