Bot_Type,wins,losses,draws,total_moves,total_time,matches_played,count,win_rate,avg_moves_per_game,avg_time_per_move
DefaultBot,107,541,2,7928,2138.913384437561,210,1,0.1646153846153846,18.876190476190477,0.26979230378879426
Gemma3,476,1607,15,43273,13223.999068498611,1049,5,0.22688274547187798,20.625834127740706,0.3055946911122088
LeChat,1131,1204,181,63708,15460.727996110916,1258,6,0.4495230524642289,25.32114467408585,0.24268110749216606
Negamax,805,1674,115,59617,15417.464926719666,837,4,0.31033153430994603,35.61350059737156,0.2586085332492354
Negamax2,1129,1915,198,77772,18618.90686440468,1046,5,0.3482418260333128,37.17590822179732,0.2394037296765504
Negamax3,1127,1916,199,79635,18777.511642932892,1046,5,0.3476249228871067,38.06644359464627,0.23579470889599916
Negamax4,6261,6712,1307,398273,166709.3738014698,4610,22,0.4384453781512605,43.19663774403471,0.4185806564880617
Negamax5,8807,6793,1950,491494,218302.04085373878,5670,27,0.5018233618233618,43.341622574955906,0.44416013390547754
Negamax5B,11510,1982,3964,516115,176494.21669077873,5623,27,0.659372135655362,45.89320647341277,0.34196684206190237
NeuralBot,2113,13415,70,230907,56332.44836306572,5039,24,0.13546608539556354,22.91198650525898,0.2439616311461572
QwQ,1206,413,49,40046,9854.029911756516,834,4,0.7230215827338129,24.008393285371703,0.24606776985857554
RandomBot,35,614,1,9453,2214.944345474243,210,1,0.05384615384615385,22.507142857142856,0.23431126049658765
claude3.7-sonnet,2021,882,37,66588,21439.678492307663,1470,7,0.6874149659863945,22.648979591836735,0.3219751080120692
claude3.7-sonnet-thinking,1464,399,225,53256,13080.70106291771,1044,5,0.7011494252873564,25.50574712643678,0.24561929290441845
gemini-flash-2.0,656,1283,155,45443,9846.889931678772,1047,5,0.3132760267430755,21.70152817574021,0.21668661689762497
gemini-flash-2.0-thinking,1079,890,127,49822,13664.363219738007,1048,5,0.5147900763358778,23.77003816793893,0.2742636429637109
gemini-pro-2.0,1292,677,129,46382,13911.150882482529,1049,5,0.6158245948522403,22.107721639656816,0.29992563672292116
gpt4o,7024,2724,1486,297590,92904.29177260399,5617,27,0.6252447925939113,26.49011928075485,0.3121888899916126
o1,865,1081,146,49846,16317.023693561554,1046,5,0.4134799235181644,23.826959847036328,0.327348707891537
o3-mini-high,1028,577,73,41507,7947.149659872055,839,4,0.6126340882002383,24.735995232419548,0.19146528681600827
o3-mini-high-search,424,2491,25,59084,20980.618398666382,1470,7,0.14421768707482993,20.09659863945578,0.35509813822128466
r1,428,1561,111,39449,25809.816654205322,1050,5,0.2038095238095238,18.785238095238096,0.6542578177952628
same.dev,1019,656,109,39930,7351.5410277843475,892,5,0.5711883408071748,22.382286995515695,0.1841107194536526
