Bot,Elo,Bot_Type,Depth,Time_Limit,Neural_Gen
Negamax P1,533.3511235987044,Negamax,1.0,,
Negamax P2,700.3911087874876,Negamax,2.0,,
Negamax P4,867.2038833174454,Negamax,4.0,,
Negamax P6,1035.5122243207206,Negamax,6.0,,
Negamax2 P1,491.95397348588017,Negamax2,1.0,,
Negamax2 P2,831.3879430294253,Negamax2,2.0,,
Negamax2 P4,946.445951041655,Negamax2,4.0,,
Negamax2 P6,1068.5479101879325,Negamax2,6.0,,
Negamax2 P8,1024.332389622155,Negamax2,8.0,,
Negamax3 P1,512.5699242895402,Negamax3,1.0,,
Negamax3 P2,817.1424621157354,Negamax3,2.0,,
Negamax3 P4,1004.6674217060088,Negamax3,4.0,,
Negamax3 P6,1037.2087327042,Negamax3,6.0,,
Negamax3 P8,1048.6899796960054,Negamax3,8.0,,
Negamax4 P1,643.6443479542702,Negamax4,1.0,,
Negamax4 P2,893.234333731114,Negamax4,2.0,,
Negamax4 P4,962.7561985603984,Negamax4,4.0,,
Negamax4 P6,1020.8065301756719,Negamax4,6.0,,
Negamax4 P8,1001.6153576965642,Negamax4,8.0,,
Negamax4 P10,1141.4920020073891,Negamax4,10.0,,
Negamax4 P4 T0.01,1058.9022633521627,Negamax4,4.0,0.01,
Negamax4 P4 T0.025,855.3279325942474,Negamax4,4.0,0.025,
Negamax4 P4 T0.1,844.7189835324923,Negamax4,4.0,0.1,
Negamax4 P4 T0.25,896.3521317539239,Negamax4,4.0,0.25,
Negamax4 P6 T0.01,1046.2060342293378,Negamax4,6.0,0.01,
Negamax4 P6 T0.025,935.0499913097815,Negamax4,6.0,0.025,
Negamax4 P6 T0.1,942.3720857325586,Negamax4,6.0,0.1,
Negamax4 P6 T0.25,996.1531964634394,Negamax4,6.0,0.25,
Negamax4 P8 T0.01,1033.8874344602189,Negamax4,8.0,0.01,
Negamax4 P8 T0.025,1038.7792025682065,Negamax4,8.0,0.025,
Negamax4 P8 T0.1,1114.3993101096103,Negamax4,8.0,0.1,
